0.005,184.5
0.01,117.6
0.015,116.0
0.02,78.4
0.025,77.6
0.03,74.6
0.035,79.2
0.04,75.2
0.045,78.5
0.05,75.2
0.055,76.0
0.06,75.3
0.065,81.8
0.07,75.2
0.075,76.8
0.08,75.3
0.085,75.2
0.09,74.4
0.095,76.1
0.1,76.8
0.105,75.6
0.11,77.6
0.115,75.2
0.12,73.7
0.125,75.3
0.13,78.2
0.135,76.0
0.14,76.0
0.145,75.1
0.15,75.2
0.155,76.5
0.16,74.4
0.165,76.1
0.17,75.2
0.175,74.7
0.18,77.6
0.185,76.0
0.19,76.8
0.195,77.6
0.2,80.8
0.205,82.4
0.21,85.4
0.215,79.0
0.22,75.2
0.225,75.2
0.23,76.0
0.235,83.6
0.24,84.8
0.245,78.5
0.25,82.5
